case_enquiry_id,open_dt,target_dt,closed_dt,ontime,case_status,closure_reason,case_title,subject,reason,type,queue,department,submittedphoto,closedphoto,location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,location_street_name,location_zipcode,latitude,longitude,source
101004418784,2022-08-08 08:39:00,2022-11-06 08:39:20,2022-08-12 08:14:47,ONTIME,Closed,Case Closed. Closed date : Fri Aug 12 08:14:47 EDT 2022 Noted Notice written 8/11/22  ,SCH 8/11 Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,72 Ridgewood St  Dorchester  MA  02122,7,03,3,C11,Dorchester,8,Ward 15,1507,72 Ridgewood St,02122,42.3026,-71.0645,Constituent Call
101004420866,2022-08-09 14:02:00,2022-11-07 14:02:36,2022-08-10 08:56:03,ONTIME,Closed,Case Closed. Closed date : 2022-08-10 08:56:03.6 Case Noted Constituent canceled resolved 8/10/22 ,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,8 Marden Ave  Dorchester  MA  02124,8,07,4,B3,Greater Mattapan,9,Ward 14,1413,8 Marden Ave,02124,42.2847,-71.0866,Constituent Call
101004425522,2022-08-12 15:38:00,2022-11-10 15:38:08,2022-08-23 10:08:30,ONTIME,Closed,Case Closed. Closed date : Tue Aug 23 10:08:30 EDT 2022 Noted Notice written ,DISP8/15Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,23 Monsignor Reynolds Way  Roxbury  MA  02118,4,1C,2,D4,South End,6,Ward 8,0801,23 Monsignor Reynolds Way,02118,42.3401,-71.0704,Constituent Call
101004468508,2022-09-06 08:08:00,2022-12-05 08:08:03,2022-09-07 08:08:28,ONTIME,Closed,Case Closed. Closed date : 2022-09-07 08:08:28.057 resolved occupant calle and withdrew complaint stated it appears the locks have been fixed ,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,82 Walford Way  Charlestown  MA  02129,3,1A,1,A15,Charlestown,2,02,0202,82 Walford Way,02129,42.3783,-71.0575,Constituent Call
101004477612,2022-09-12 12:39:00,2022-12-11 12:39:18,,OVERDUE,Open, ,SCH9/16Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,59 B St  South Boston  MA  02127,6,05,2,C6,South Boston / South Boston Waterfront,5,Ward 6,0601,59 B St,02127,42.3395,-71.0552,Constituent Call
101004471093,2022-09-07 14:59:00,2022-12-06 14:59:25,2022-09-12 10:06:49,ONTIME,Closed,Case Closed. Closed date : 2022-09-12 10:06:49.05 Case Noted closed dup request 9/12/22 ,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,28 Stanton St  Dorchester  MA  02124,8,07,4,B3,Dorchester,9,Ward 17,1707,28 Stanton St,02124,42.2846,-71.0795,Constituent Call
101004517563,2022-10-05 17:55:00,2023-01-03 17:55:00,2022-10-06 08:28:02,ONTIME,Closed,Case Closed. Closed date : 2022-10-06 08:28:02.97 Duplicate of Existing Case Dup case refer to 101004517367 ,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,339 D St  South Boston  MA  02127,6,05,2,C6,South Boston,5,06,0601,339 D St,02127,42.3594,-71.0587,Constituent Call
101004524634,2022-10-12 15:29:25,2023-01-10 15:29:25,2022-10-13 09:08:14,ONTIME,Closed,Case Closed. Closed date : 2022-10-13 09:08:14.47 Case Noted Multiple calls no answer. ,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,16 Malbert Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2210,16 Malbert Rd,02135,42.3499,-71.159,Constituent Call
101004552806,2022-11-07 09:18:00,2023-02-05 09:18:18,,ONTIME,Open, ,DSP11/7Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,89 Chester St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2104,89 Chester St,02134,42.3538,-71.1278,Constituent Call
101004579437,2022-11-22 10:08:00,2023-02-20 10:08:44,2022-11-30 12:00:13,ONTIME,Closed,Case Closed. Closed date : Wed Nov 30 12:00:13 EST 2022 Resolved Upon arrival occupant stated mgmt had been working on boiler and heat was restored. Case closed. ,SCH11/30Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,68 Seymour St  Roslindale  MA  02131,12,06,5,E5,Roslindale,10,Ward 19,1910,68 Seymour St,02131,42.2793,-71.1205,Constituent Call
101004115262,2022-01-03 20:15:00,2022-04-03 20:15:56,2022-01-04 08:24:52,ONTIME,Closed,Case Closed. Closed date : 2022-01-04 08:24:52.703 Duplicate of Existing Case refer to 101004115323 ,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,42 Harrison Archways  Roxbury  MA  02118,4,1C,2,D4,South End,6,Ward 8,0801,42 Harrison Archways,02118,42.3396,-71.0707,Constituent Call
101004118720,2022-01-07 09:40:00,2022-04-07 09:40:23,,OVERDUE,Open, ,SCHEDULED Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,103 Gordon St  Brighton  MA  02135,11,04,9,D14,Brighton,15,21,2109,103 Gordon St,02135,42.3495,-71.1401,Constituent Call
101004584158,2022-11-28 14:03:00,2023-02-26 14:03:27,2022-12-02 11:58:52,ONTIME,Closed,Case Closed. Closed date : Fri Dec 02 11:58:52 EST 2022 Invalid Duplicate refer to 101004581855 ,SCH11/30 Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,229A River St  Mattapan  MA  02126,8,07,4,B3,Greater Mattapan,9,18,1801,229A River St,02126,42.2758,-71.0838,Constituent Call
101004585582,2022-11-29 15:09:00,2023-02-27 15:09:00,2022-12-02 12:13:37,ONTIME,Closed,Case Closed. Closed date : Fri Dec 02 12:13:37 EST 2022 Resolved No Cause  ,SCH12/2Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,140 Prince St  Boston  MA  02113,3,1B,1,A1,Downtown / Financial District,3,Ward 3,0304,140 Prince St,02113,42.3664,-71.0575,Constituent Call
101004589281,2022-12-02 16:39:00,2023-03-02 16:39:41,2022-12-08 15:06:45,ONTIME,Closed,Case Closed. Closed date : Thu Dec 08 15:06:45 EST 2022 Noted Notice written Viol#648673 ,SCH12/8Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,111 Atlantic Ave  Boston  MA  02109,3,1B,1,A1,Downtown / Financial District,3,Ward 3,0301,111 Atlantic Ave,02109,42.3614,-71.0527,Constituent Call
101004590821,2022-12-04 19:29:07,2023-03-04 19:29:07,2022-12-09 08:44:28,ONTIME,Closed,Case Closed. Closed date : 2022-12-09 08:44:28.523 Case Invalid no contact number 12-9/2022 ,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,15 Wildwood St  Dorchester  MA  02124,8,07,4,B3,Greater Mattapan,9,Ward 14,1405,15 Wildwood St,02124,42.2839,-71.0872,Self Service
101004129398,2022-01-18 13:22:00,2022-04-18 13:22:03,2022-01-18 14:31:03,ONTIME,Closed,Case Closed. Closed date : 2022-01-18 14:31:03.0 Duplicate of Existing Case refer to 101004079492 ,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,25 Bradford Rd  Mattapan  MA  02126,8,07,4,B3,Greater Mattapan,9,Ward 18,1801,25 Bradford Rd,02126,42.2712,-71.0784,Constituent Call
101004594477,2022-12-07 16:56:00,2023-03-07 16:56:30,,ONTIME,Open, ,SCH12/14Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,17 Saint Rose St  Jamaica Plain  MA  02130,9,02,6,E13,Jamaica Plain,11,Ward 11,1110,17 Saint Rose St,02130,42.305,-71.1153,Constituent Call
101004595555,2022-12-08 15:17:00,2023-03-08 15:17:15,2022-12-13 13:32:19,ONTIME,Closed,Case Closed. Closed date : Tue Dec 13 13:32:19 EST 2022 Resolved No answer or access wrong number when called  ,SCH12/13Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,380 Talbot Ave  Dorchester  MA  02124,8,07,4,C11,Dorchester,8,Ward 17,1706,380 Talbot Ave,02124,42.2903,-71.0703,Constituent Call
101004146845,2022-01-26 08:08:00,2022-04-26 08:08:56,2022-01-26 14:56:47,ONTIME,Closed,Case Closed. Closed date : 2022-01-26 14:56:47.667 Case Resolved ,SCHEDULED Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,9 Linden St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2104,9 Linden St,02134,42.3556,-71.1312,Constituent Call
101004146871,2022-01-26 08:25:00,2022-04-26 08:25:58,,OVERDUE,Open, ,SCHEDULED Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,5 Dr. Michael Gavin Way  South Boston  MA  02127,6,05,2,C6,South Boston,5,07,0707,5 Dr. Michael Gavin Way,02127,42.3266,-71.0535,Constituent Call
101004602685,2022-12-16 12:47:00,2023-03-16 12:47:26,2022-12-20 16:02:15,ONTIME,Closed,Case Closed. Closed date : Tue Dec 20 16:02:15 EST 2022 Resolved No cause. ,SCH12/20Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,21 Algonquin St  Dorchester  MA  02124,8,03,4,B3,Dorchester,9,Ward 17,1701,21 Algonquin St,02124,42.2979,-71.0742,Constituent Call
101004609216,2022-12-23 13:34:00,2023-03-23 13:34:38,,ONTIME,Open, ,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,7-9 Wenham St  Jamaica Plain  MA  02130,12,02,6,E13,Jamaica Plain,10,Ward 19,1907,7-9 Wenham St,02130,42.2956,-71.1153,Constituent Call
101004162428,2022-02-02 15:28:00,2022-05-03 15:28:10,,OVERDUE,Open, ,DISPATCHED Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,4945 Washington St  West Roxbury  MA  02132,12,06,6,E5,West Roxbury,12,20,2010,4945 Washington St,02132,42.2688,-71.1498,Constituent Call
101004166002,2022-02-05 08:38:00,2022-05-06 08:38:39,2022-02-09 09:24:21,ONTIME,Closed,Case Closed. Closed date : Wed Feb 09 09:24:21 EST 2022 Resolved Sidewalk shoveled  ,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,PWDx_Code Enforcement,PWDx,,https://spot-boston-res.cloudinary.com/image/upload/v1644416656/boston/production/fvky9wjxb7g5eavp1eag.jpg,690 Blue Hill Ave  Dorchester  MA  02121,7,03,4,B3,Greater Mattapan,8,Ward 14,1407,690 Blue Hill Ave,02121,42.3007,-71.0856,Constituent Call
101004172297,2022-02-09 10:27:00,2022-05-10 10:27:46,2022-02-17 08:30:38,ONTIME,Closed,Case Closed. Closed date : Thu Feb 17 08:30:38 EST 2022 Noted Violations found notice written 2/15/22 ,SCH2/15Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,17 Sonoma St  Dorchester  MA  02121,9,10B,7,B2,Roxbury,13,Ward 12,1207,17 Sonoma St,02121,42.3084,-71.0868,Constituent Call
101004179836,2022-02-15 15:50:00,2022-05-16 15:50:37,2022-02-23 13:38:03,ONTIME,Closed,Case Closed. Closed date : Wed Feb 23 13:38:03 EST 2022 Noted Violations found. Notice written. ,SCH 2/23Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,162 W Springfield St  Roxbury  MA  02118,4,1C,7,D4,South End,6,Ward 9,0902,162 W Springfield St,02118,42.3392,-71.0792,Constituent Call
101004191933,2022-02-17 09:14:00,2022-05-18 09:14:05,2022-03-04 11:00:33,ONTIME,Closed,Case Closed. Closed date : Fri Mar 04 11:00:33 EST 2022 Resolved Violation order issued  ,SCH2/22Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,30 Fremont St  Mattapan  MA  02126,8,07,4,B3,Greater Mattapan,9,Ward 18,1802,30 Fremont St,02126,42.2713,-71.0921,Constituent Call
101004196950,2022-02-22 11:13:00,2022-05-23 11:13:25,2022-02-22 14:27:17,ONTIME,Closed,Case Closed. Closed date : Tue Feb 22 14:27:17 EST 2022 Resolved Door knob has been fixed/replaced. ,DISP 2/22Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,10 Plant Ct  Jamaica Plain  MA  02130,9,10A,6,E13,Jamaica Plain,11,Ward 10,1006,10 Plant Ct,02130,42.3249,-71.1029,Constituent Call
101004205668,2022-03-01 10:58:00,2022-05-30 10:58:37,,OVERDUE,Open, ,SCH3/3Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,272 Geneva Ave  Dorchester  MA  02121,7,03,4,C11,Dorchester,8,Ward 15,1502,272 Geneva Ave,02121,42.3044,-71.0723,Constituent Call
