,case_no,status_dttm,status,code,value,description,violation_stno,violation_sthigh,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_addr2,contact_city,contact_state,contact_zip,sam_id,latitude,longitude,location,neighborhood
26,HVIOL-655071,2023-01-05 09:38:07,Open,CMR410.501 A,,Weathertight Windows,14,,Logan,WAY,South Boston,MA,02127,07,10 Kemp Street,,south boston,MA,02127,265429,42.32717000004778,-71.05349000123188,"42.32717000004778 , -71.05349000123188",South Boston
27,HVIOL-662340,2023-02-17 14:28:12,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",116,,Hutchings,ST,Dorchester,MA,02121,12,116 Hutchings St #1,,dorchester,MA,02121,256986,42.31161000001751,-71.09234000120948,"42.31161000001751 , -71.09234000120948",Roxbury
28,HVIOL-662340,2023-02-17 14:28:12,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",116,,Hutchings,ST,Dorchester,MA,02121,12,116 Hutchings St #1,,dorchester,MA,02121,256986,42.31161000001751,-71.09234000120948,"42.31161000001751 , -71.09234000120948",Roxbury
29,HVIOL-662340,2023-02-17 14:28:12,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",116,,Hutchings,ST,Dorchester,MA,02121,12,116 Hutchings St #1,,dorchester,MA,02121,256986,42.31161000001751,-71.09234000120948,"42.31161000001751 , -71.09234000120948",Roxbury
30,HVIOL-662340,2023-02-17 14:28:12,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",116,,Hutchings,ST,Dorchester,MA,02121,12,116 Hutchings St #1,,dorchester,MA,02121,256986,42.31161000001751,-71.09234000120948,"42.31161000001751 , -71.09234000120948",Roxbury
48,HVIOL-661934,2023-02-15 14:23:43,Open,CMR410.451,,Egress Obstruction - No person shall obstruct any exit or passageway.,26,,Mallon,RD,Dorchester,MA,02121,14,26 Mallon Rd,apt 1,dorchester,MA,02121,267583,42.30223999996629,-71.07472000126509,"42.30223999996629 , -71.07472000126509",Dorchester
49,HVIOL-661934,2023-02-15 14:23:43,Open,CMR410.200 A,,"Heating Facilities Required - Owner shall provide & maintain in good operating condition the facilities for heating every habitable room and every room containing a toilet, shower or bathtub.",26,,Mallon,RD,Dorchester,MA,02121,14,26 Mallon Rd,apt 1,dorchester,MA,02121,267583,42.30223999996629,-71.07472000126509,"42.30223999996629 , -71.07472000126509",Dorchester
50,HVIOL-661934,2023-02-15 14:23:43,Open,CMR410.190,,"Hot Water - Facilities for providing a min. temperature of hot water at 110F , max. temperature 130F",26,,Mallon,RD,Dorchester,MA,02121,14,26 Mallon Rd,apt 1,dorchester,MA,02121,267583,42.30223999996629,-71.07472000126509,"42.30223999996629 , -71.07472000126509",Dorchester
52,HVIOL-661920,2023-02-15 13:42:59,Open,CMR410.550 B,,"Extermination of Insects, Rodents and Skunks - The owner of a dwelling containing two or more dwelling units shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them",148,,Geneva,AVE,Dorchester,MA,02121,14,148 Geneva Ave apt 11,,dorchester,MA,02121,240540,42.30572000001817,-71.07735000118006,"42.30572000001817 , -71.07735000118006",Dorchester
56,HVIOL-661868,2023-02-15 10:00:13,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",39,,Mount Pleasant,AVE,Roxbury,MA,02119,08,270 Roxbury Street,,roxbury,MA,02119,278743,42.32697999998172,-71.07974000126615,"42.32697999998172 , -71.07974000126615",Roxbury
57,HVIOL-661868,2023-02-15 10:00:13,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",39,,Mount Pleasant,AVE,Roxbury,MA,02119,08,270 Roxbury Street,,roxbury,MA,02119,278743,42.32697999998172,-71.07974000126615,"42.32697999998172 , -71.07974000126615",Roxbury
58,HVIOL-661868,2023-02-15 10:00:13,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",39,,Mount Pleasant,AVE,Roxbury,MA,02119,08,270 Roxbury Street,,roxbury,MA,02119,278743,42.32697999998172,-71.07974000126615,"42.32697999998172 , -71.07974000126615",Roxbury
59,HVIOL-661868,2023-02-15 10:00:13,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",39,,Mount Pleasant,AVE,Roxbury,MA,02119,08,270 Roxbury Street,,roxbury,MA,02119,278743,42.32697999998172,-71.07974000126615,"42.32697999998172 , -71.07974000126615",Roxbury
60,HVIOL-661868,2023-02-15 10:00:13,Open,CMR410.550 B,,"Extermination of Insects, Rodents and Skunks - The owner of a dwelling containing two or more dwelling units shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them",39,,Mount Pleasant,AVE,Roxbury,MA,02119,08,270 Roxbury Street,,roxbury,MA,02119,278743,42.32697999998172,-71.07974000126615,"42.32697999998172 , -71.07974000126615",Roxbury
61,HVIOL-661868,2023-02-15 10:00:13,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",39,,Mount Pleasant,AVE,Roxbury,MA,02119,08,270 Roxbury Street,,roxbury,MA,02119,278743,42.32697999998172,-71.07974000126615,"42.32697999998172 , -71.07974000126615",Roxbury
62,HVIOL-661860,2023-02-15 09:21:00,Open,CMR410.550 B,,"Extermination of Insects, Rodents and Skunks - The owner of a dwelling containing two or more dwelling units shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them",70,,Fairlawn,AVE,Mattapan,MA,02126,18,15 Bismarch St,,mattapan,Ma,02126,232627,42.26920000002159,-71.09972000124291,"42.26920000002159 , -71.09972000124291",Mattapan
63,HVIOL-661860,2023-02-15 09:21:00,Open,CMR410.550 B,,"Extermination of Insects, Rodents and Skunks - The owner of a dwelling containing two or more dwelling units shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them",70,,Fairlawn,AVE,Mattapan,MA,02126,18,15 Bismarch St,,mattapan,Ma,02126,232627,42.26920000002159,-71.09972000124291,"42.26920000002159 , -71.09972000124291",Mattapan
64,HVIOL-661761,2023-02-14 14:49:25,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",10,,Perrin,ST,Boston,MA,02119,12,434 Massachusetts Ave. Ste. 300,,boston,MA,02118,374543,42.32287000000441,-71.07759000123258,"42.32287000000441 , -71.07759000123258",Roxbury
65,HVIOL-661761,2023-02-14 14:49:25,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",10,,Perrin,ST,Boston,MA,02119,12,434 Massachusetts Ave. Ste. 300,,boston,MA,02118,374543,42.32287000000441,-71.07759000123258,"42.32287000000441 , -71.07759000123258",Roxbury
66,HVIOL-661761,2023-02-14 14:49:25,Open,CMR410.482 A,,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",10,,Perrin,ST,Boston,MA,02119,12,434 Massachusetts Ave. Ste. 300,,boston,MA,02118,374543,42.32287000000441,-71.07759000123258,"42.32287000000441 , -71.07759000123258",Roxbury
67,HVIOL-661761,2023-02-14 14:49:25,Open,CMR410.482 A,,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",10,,Perrin,ST,Boston,MA,02119,12,434 Massachusetts Ave. Ste. 300,,boston,MA,02118,374543,42.32287000000441,-71.07759000123258,"42.32287000000441 , -71.07759000123258",Roxbury
68,HVIOL-661680,2023-02-14 10:53:19,Open,CMR410.550 B,,"Extermination of Insects, Rodents and Skunks - The owner of a dwelling containing two or more dwelling units shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them",19,,Crossman,ST,Boston,MA,02126,18,19 Crossman Street,,mattapan,MA,02126,386827,42.27365000000427,-71.09091000123162,"42.27365000000427 , -71.09091000123162",Mattapan
69,HVIOL-661680,2023-02-14 10:53:19,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",19,,Crossman,ST,Boston,MA,02126,18,19 Crossman Street,,mattapan,MA,02126,386827,42.27365000000427,-71.09091000123162,"42.27365000000427 , -71.09091000123162",Mattapan
70,HVIOL-661673,2023-02-14 10:41:00,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",974,,Saratoga,ST,East Boston,MA,02128,01,60 Border St,,east boston,MA,02128,306474,42.38711000004081,-71.007620001253,"42.38711000004081 , -71.007620001253",East Boston
71,HVIOL-661673,2023-02-14 10:41:00,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",974,,Saratoga,ST,East Boston,MA,02128,01,60 Border St,,east boston,MA,02128,306474,42.38711000004081,-71.007620001253,"42.38711000004081 , -71.007620001253",East Boston
72,HVIOL-661673,2023-02-14 10:41:00,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",974,,Saratoga,ST,East Boston,MA,02128,01,60 Border St,,east boston,MA,02128,306474,42.38711000004081,-71.007620001253,"42.38711000004081 , -71.007620001253",East Boston
73,HVIOL-661673,2023-02-14 10:41:00,Open,CMR410.602 D,,"Maint. of Areas Free from Garbage & Rubbish(Common Areas) - In any dwelling, the owner shall be responsible for maintaining in a clean and sanitary condition free of garbage, rubbish, filth all common areas.",974,,Saratoga,ST,East Boston,MA,02128,01,60 Border St,,east boston,MA,02128,306474,42.38711000004081,-71.007620001253,"42.38711000004081 , -71.007620001253",East Boston
74,HVIOL-661673,2023-02-14 10:41:00,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",974,,Saratoga,ST,East Boston,MA,02128,01,60 Border St,,east boston,MA,02128,306474,42.38711000004081,-71.007620001253,"42.38711000004081 , -71.007620001253",East Boston
75,HVIOL-661673,2023-02-14 10:41:00,Open,CMR410.481,,POST OWNER NAME,974,,Saratoga,ST,East Boston,MA,02128,01,60 Border St,,east boston,MA,02128,306474,42.38711000004081,-71.007620001253,"42.38711000004081 , -71.007620001253",East Boston
76,HVIOL-661648,2023-02-14 09:34:35,Open,CMR410.200 A,,"Heating Facilities Required - Owner shall provide & maintain in good operating condition the facilities for heating every habitable room and every room containing a toilet, shower or bathtub.",75,,Saint Alphonsus,ST,Mission Hill,MA,02120,10,C/O PROPERTY MANAGER,75 SAINT ALPHONSUS  ST,boston,MA,02120,120529,42.33431262697409,-71.10095382875087,"42.33431262697409 , -71.10095382875087",Mission Hill
77,HVIOL-661648,2023-02-14 09:34:35,Open,CMR410.201,,Temperature Requirements - Min. 68F between 7:00 AM and 11:00 PM; atleast 64F between 11:01 PM and 6:59 AM; Temp shall at no time exceed 78F during heating season.,75,,Saint Alphonsus,ST,Mission Hill,MA,02120,10,C/O PROPERTY MANAGER,75 SAINT ALPHONSUS  ST,boston,MA,02120,120529,42.33431262697409,-71.10095382875087,"42.33431262697409 , -71.10095382875087",Mission Hill
78,HVIOL-661643,2023-02-14 09:26:50,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",66,,Fenway,,Boston,MA,02115,04,1395 Commonwealth Ave,,allston,MA,02134,234667,42.34314999999595,-71.09080000121745,"42.34314999999595 , -71.09080000121745",Fenway / Kenmore
79,HVIOL-661643,2023-02-14 09:26:50,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",66,,Fenway,,Boston,MA,02115,04,1395 Commonwealth Ave,,allston,MA,02134,234667,42.34314999999595,-71.09080000121745,"42.34314999999595 , -71.09080000121745",Fenway / Kenmore
80,HVIOL-661643,2023-02-14 09:26:50,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",66,,Fenway,,Boston,MA,02115,04,1395 Commonwealth Ave,,allston,MA,02134,234667,42.34314999999595,-71.09080000121745,"42.34314999999595 , -71.09080000121745",Fenway / Kenmore
81,HVIOL-661643,2023-02-14 09:26:50,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",66,,Fenway,,Boston,MA,02115,04,1395 Commonwealth Ave,,allston,MA,02134,234667,42.34314999999595,-71.09080000121745,"42.34314999999595 , -71.09080000121745",Fenway / Kenmore
82,HVIOL-661642,2023-02-14 09:24:48,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",66,,Fenway,,Boston,MA,02115,04,1395 Commonwealth Ave,,allston,MA,02134,234674,42.34314999999595,-71.09080000121745,"42.34314999999595 , -71.09080000121745",Fenway / Kenmore
83,HVIOL-661642,2023-02-14 09:24:48,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",66,,Fenway,,Boston,MA,02115,04,1395 Commonwealth Ave,,allston,MA,02134,234674,42.34314999999595,-71.09080000121745,"42.34314999999595 , -71.09080000121745",Fenway / Kenmore
84,HVIOL-661642,2023-02-14 09:24:48,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",66,,Fenway,,Boston,MA,02115,04,1395 Commonwealth Ave,,allston,MA,02134,234674,42.34314999999595,-71.09080000121745,"42.34314999999595 , -71.09080000121745",Fenway / Kenmore
85,HVIOL-661642,2023-02-14 09:24:48,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",66,,Fenway,,Boston,MA,02115,04,1395 Commonwealth Ave,,allston,MA,02134,234674,42.34314999999595,-71.09080000121745,"42.34314999999595 , -71.09080000121745",Fenway / Kenmore
86,HVIOL-661642,2023-02-14 09:24:48,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",66,,Fenway,,Boston,MA,02115,04,1395 Commonwealth Ave,,allston,MA,02134,234674,42.34314999999595,-71.09080000121745,"42.34314999999595 , -71.09080000121745",Fenway / Kenmore
87,HVIOL-661640,2023-02-14 09:21:53,Open,CMR410.550 A,,"Extermination of Insects, Rodents and Skunks - Occupant of a dwelling containing one dwelling unit shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them ",177,,Hillside,ST,Boston,MA,02120,10,209 Sedgwick Road,,west hartford,Connecticut,06107,376390,42.33182000000409,-71.10769000123277,"42.33182000000409 , -71.10769000123277",Mission Hill
88,HVIOL-661640,2023-02-14 09:21:53,Open,CMR410.550 A,,"Extermination of Insects, Rodents and Skunks - Occupant of a dwelling containing one dwelling unit shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them ",177,,Hillside,ST,Boston,MA,02120,10,209 Sedgwick Road,,west hartford,Connecticut,06107,376390,42.33182000000409,-71.10769000123277,"42.33182000000409 , -71.10769000123277",Mission Hill
89,HVIOL-661639,2023-02-14 09:17:05,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",66,,Fenway,,Boston,MA,02115,04,1395 Commonwealth Ave,,allston,MA,02134,234681,42.34314999999595,-71.09080000121745,"42.34314999999595 , -71.09080000121745",Fenway / Kenmore
90,HVIOL-661636,2023-02-14 09:08:00,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",66,,Fenway,,Boston,MA,02115,04,1395 Commonwealth Ave,,allston,MA,02134,234660,42.34314999999595,-71.09080000121745,"42.34314999999595 , -71.09080000121745",Fenway / Kenmore
91,HVIOL-661636,2023-02-14 09:08:00,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",66,,Fenway,,Boston,MA,02115,04,1395 Commonwealth Ave,,allston,MA,02134,234660,42.34314999999595,-71.09080000121745,"42.34314999999595 , -71.09080000121745",Fenway / Kenmore
93,HVIOL-661636,2023-02-14 09:08:00,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",66,,Fenway,,Boston,MA,02115,04,1395 Commonwealth Ave,,allston,MA,02134,234660,42.34314999999595,-71.09080000121745,"42.34314999999595 , -71.09080000121745",Fenway / Kenmore
94,HVIOL-661636,2023-02-14 09:08:00,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",66,,Fenway,,Boston,MA,02115,04,1395 Commonwealth Ave,,allston,MA,02134,234660,42.34314999999595,-71.09080000121745,"42.34314999999595 , -71.09080000121745",Fenway / Kenmore
95,HVIOL-661611,2023-02-14 08:00:28,Open,CMR410.482 A,,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",16,,Elwyn,RD,Dorchester,MA,02124,17,1 fairway drive,,woburn,MA,01801,230024,42.29569999998177,-71.07452000118977,"42.29569999998177 , -71.07452000118977",Dorchester
96,HVIOL-661611,2023-02-14 08:00:28,Open,CMR410.482 A,,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",16,,Elwyn,RD,Dorchester,MA,02124,17,1 fairway drive,,woburn,MA,01801,230024,42.29569999998177,-71.07452000118977,"42.29569999998177 , -71.07452000118977",Dorchester
97,HVIOL-661611,2023-02-14 08:00:28,Open,CMR410.482 A,,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",16,,Elwyn,RD,Dorchester,MA,02124,17,1 fairway drive,,woburn,MA,01801,230024,42.29569999998177,-71.07452000118977,"42.29569999998177 , -71.07452000118977",Dorchester
98,HVIOL-661611,2023-02-14 08:00:28,Open,CMR410.482 A,,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",16,,Elwyn,RD,Dorchester,MA,02124,17,1 fairway drive,,woburn,MA,01801,230024,42.29569999998177,-71.07452000118977,"42.29569999998177 , -71.07452000118977",Dorchester
99,HVIOL-661527,2023-02-13 15:43:02,Open,CMR410.481,,POST OWNER NAME,364,,Harvard,ST,Dorchester,MA,02124,14,,,,,,248795,42.29157000001198,-71.09032000121961,"42.29157000001198 , -71.09032000121961",Mattapan
100,HVIOL-661527,2023-02-13 15:43:02,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",364,,Harvard,ST,Dorchester,MA,02124,14,,,,,,248795,42.29157000001198,-71.09032000121961,"42.29157000001198 , -71.09032000121961",Mattapan
101,HVIOL-661517,2023-02-13 14:57:33,Open,CMR410.550 B,,"Extermination of Insects, Rodents and Skunks - The owner of a dwelling containing two or more dwelling units shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them",145,,Putnam,ST,East Boston,MA,02128,01,40 Everett Street,,east boston,ma,02128,296344,42.377899999989005,-71.03190000119,"42.377899999989005 , -71.03190000119",East Boston
102,HVIOL-661517,2023-02-13 14:57:33,Open,CMR410.602 D,,"Maint. of Areas Free from Garbage & Rubbish(Common Areas) - In any dwelling, the owner shall be responsible for maintaining in a clean and sanitary condition free of garbage, rubbish, filth all common areas.",145,,Putnam,ST,East Boston,MA,02128,01,40 Everett Street,,east boston,ma,02128,296344,42.377899999989005,-71.03190000119,"42.377899999989005 , -71.03190000119",East Boston
103,HVIOL-661517,2023-02-13 14:57:33,Open,CMR410.602 A,,"Maint. of Areas Free from Garbage & Rubbish(Land) - The owner of any parcel of land, vacant or otherwise, shall be responsible for maintaining such parcel of land in a clean and sanitary condition.",145,,Putnam,ST,East Boston,MA,02128,01,40 Everett Street,,east boston,ma,02128,296344,42.377899999989005,-71.03190000119,"42.377899999989005 , -71.03190000119",East Boston
104,HVIOL-661517,2023-02-13 14:57:33,Open,CMR410.602 C,,"Maint. of Areas Free from Garbage & Rubbish - Dwelling that contains 3 units or less, occ shall be responsible for maintaining in a clean & sanitary condition, free of garbage & filth the stairways leading/landing adjacent to his unit if.",145,,Putnam,ST,East Boston,MA,02128,01,40 Everett Street,,east boston,ma,02128,296344,42.377899999989005,-71.03190000119,"42.377899999989005 , -71.03190000119",East Boston
109,HVIOL-661418,2023-02-13 11:35:31,Open,CMR410.482 A,,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",103,,Lorna,RD,Mattapan,MA,02126,18,91 Elm St.,,quincy,MA,02169,266347,42.27727000004034,-71.08500000120546,"42.27727000004034 , -71.08500000120546",Mattapan
110,HVIOL-661418,2023-02-13 11:35:31,Open,CMR410.482 A,,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",103,,Lorna,RD,Mattapan,MA,02126,18,91 Elm St.,,quincy,MA,02169,266347,42.27727000004034,-71.08500000120546,"42.27727000004034 , -71.08500000120546",Mattapan
112,HVIOL-661410,2023-02-13 11:27:31,Open,CMR410.550 A,,"Extermination of Insects, Rodents and Skunks - Occupant of a dwelling containing one dwelling unit shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them ",734,,Cummins,HWY,Mattapan,MA,02126,18,104 Thatcher St.,,milton,MA,02186,221206,42.27091100003018,-71.10190700119084,"42.27091100003018 , -71.10190700119084",Mattapan
113,HVIOL-661410,2023-02-13 11:27:31,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",734,,Cummins,HWY,Mattapan,MA,02126,18,104 Thatcher St.,,milton,MA,02186,221206,42.27091100003018,-71.10190700119084,"42.27091100003018 , -71.10190700119084",Mattapan
114,HVIOL-661410,2023-02-13 11:27:31,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",734,,Cummins,HWY,Mattapan,MA,02126,18,104 Thatcher St.,,milton,MA,02186,221206,42.27091100003018,-71.10190700119084,"42.27091100003018 , -71.10190700119084",Mattapan
115,HVIOL-653911,2022-12-27 15:37:36,Open,CMR410.501 A,,Weathertight Windows,31,,Lorne,ST,Boston,MA,02124,14,754 Blue Hill Ave,,boston,MA,02121,379901,42.293840000004266,-71.09061000123202,"42.293840000004266 , -71.09061000123202",Mattapan
